plateID,well,cmpdname,CONCuM,cmpdnum
plate_1,B02,Niraparib,0.1,Niraparib_ 0.1
plate_1,B03,Doxorubicin,1,Doxorubicin_ 1
plate_1,B04,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,B05,Cisplatin,10,Cisplatin_ 10
plate_1,B06,Veliparib,1,Veliparib_ 1
plate_1,B07,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,B08,Carboplatin,10,Carboplatin_ 10
plate_1,B09,Carboplatin,1,Carboplatin_ 1
plate_1,B10,Cisplatin,1,Cisplatin_ 1
plate_1,B11,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,B12,Olaparib,0.1,Olaparib_ 0.1
plate_1,B13,Trametinib,1,Trametinib_ 1
plate_1,B14,Paclitaxel,10,Paclitaxel_ 10
plate_1,B15,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,B16,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,B17,DMSO,0,DMSO_ 0
plate_1,B18,Rucaparib,1,Rucaparib_ 1
plate_1,B19,Gemcitabine,1,Gemcitabine_ 1
plate_1,B20,Palbociclib,10,Palbociclib_ 10
plate_1,B21,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,B22,Palbociclib,1,Palbociclib_ 1
plate_1,B23,Berzosertib,1,Berzosertib_ 1
plate_1,C02,Veliparib,1,Veliparib_ 1
plate_1,C03,DMSO,0,DMSO_ 0
plate_1,C04,Olaparib,10,Olaparib_ 10
plate_1,C05,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,C06,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,C07,Doxorubicin,1,Doxorubicin_ 1
plate_1,C08,Trametinib,10,Trametinib_ 10
plate_1,C09,Carboplatin,10,Carboplatin_ 10
plate_1,C10,Topotecan,10,Topotecan_ 10
plate_1,C11,Topotecan,10,Topotecan_ 10
plate_1,C12,Olaparib,1,Olaparib_ 1
plate_1,C13,Topotecan,0.1,Topotecan_ 0.1
plate_1,C14,Gemcitabine,10,Gemcitabine_ 10
plate_1,C15,Cisplatin,10,Cisplatin_ 10
plate_1,C16,Cisplatin,1,Cisplatin_ 1
plate_1,C17,Adavosertib,1,Adavosertib_ 1
plate_1,C18,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,C19,Veliparib,1,Veliparib_ 1
plate_1,C20,Carboplatin,1,Carboplatin_ 1
plate_1,C21,Rucaparib,10,Rucaparib_ 10
plate_1,C22,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,C23,Veliparib,0.1,Veliparib_ 0.1
plate_1,D02,Trametinib,10,Trametinib_ 10
plate_1,D03,Niraparib,1,Niraparib_ 1
plate_1,D04,Gemcitabine,1,Gemcitabine_ 1
plate_1,D05,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,D06,Berzosertib,1,Berzosertib_ 1
plate_1,D07,Doxorubicin,1,Doxorubicin_ 1
plate_1,D08,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,D09,Adavosertib,1,Adavosertib_ 1
plate_1,D10,Rucaparib,1,Rucaparib_ 1
plate_1,D11,Palbociclib,1,Palbociclib_ 1
plate_1,D12,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,D13,Paclitaxel,1,Paclitaxel_ 1
plate_1,D14,Veliparib,1,Veliparib_ 1
plate_1,D15,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,D16,Veliparib,1,Veliparib_ 1
plate_1,D17,Trametinib,10,Trametinib_ 10
plate_1,D18,Berzosertib,10,Berzosertib_ 10
plate_1,D19,Palbociclib,1,Palbociclib_ 1
plate_1,D20,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,D21,Berzosertib,1,Berzosertib_ 1
plate_1,D22,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,D23,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,E02,Gemcitabine,10,Gemcitabine_ 10
plate_1,E03,Berzosertib,10,Berzosertib_ 10
plate_1,E04,Adavosertib,10,Adavosertib_ 10
plate_1,E05,Gemcitabine,10,Gemcitabine_ 10
plate_1,E06,Rucaparib,10,Rucaparib_ 10
plate_1,E07,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,E08,Adavosertib,10,Adavosertib_ 10
plate_1,E09,Veliparib,10,Veliparib_ 10
plate_1,E10,Carboplatin,1,Carboplatin_ 1
plate_1,E11,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,E12,Topotecan,10,Topotecan_ 10
plate_1,E13,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,E14,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,E15,Olaparib,1,Olaparib_ 1
plate_1,E16,Niraparib,1,Niraparib_ 1
plate_1,E17,Cisplatin,1,Cisplatin_ 1
plate_1,E18,Veliparib,10,Veliparib_ 10
plate_1,E19,Cisplatin,1,Cisplatin_ 1
plate_1,E20,Olaparib,1,Olaparib_ 1
plate_1,E21,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,E22,Topotecan,0.1,Topotecan_ 0.1
plate_1,E23,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,F02,Adavosertib,1,Adavosertib_ 1
plate_1,F03,Niraparib,1,Niraparib_ 1
