plateID,well,cmpdname,CONCuM,cmpdnum
plate_1,D04,Dasatinib, 1,Dasatinib_ 1,
plate_1,D06,Dasatinib,0.1,Dasatinib_0.1,
plate_1,D07,Etoposide, 10,Etoposide_ 10,
plate_1,D08,Dasatinib, 1,Dasatinib_ 1,
plate_1,D12,DMSO,0,DMSO_0,
plate_1,D13,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,D14,DMSO,0,DMSO_0,
plate_1,D16,Dasatinib,0.1,Dasatinib_0.1,
plate_1,D20,Etoposide, 30,Etoposide_ 30,
plate_1,D21,Dasatinib, 1,Dasatinib_ 1,
plate_1,E04,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,E05,Nocodazole,0.1,Nocodazole_0.1,
plate_1,E08,Nocodazole,0.1,Nocodazole_0.1,
plate_1,E10,DMSO,0,DMSO_0,
plate_1,E11,Nocodazole, 1,Nocodazole_ 1,
plate_1,E12,Dasatinib,0.1,Dasatinib_0.1,
plate_1,E14,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,E15,Etoposide, 30,Etoposide_ 30,
plate_1,E17,DMSO,0,DMSO_0,
plate_1,E18,Etoposide, 30,Etoposide_ 30,
plate_1,E19,Dasatinib,0.1,Dasatinib_0.1,
plate_1,F05,DMSO,0,DMSO_0,
plate_1,F06,Dasatinib, 1,Dasatinib_ 1,
plate_1,F07,Tetrandrine,1,Tetrandrine_1,
plate_1,F09,Etoposide, 30,Etoposide_ 30,
plate_1,F11,Etoposide,3,Etoposide_3,
plate_1,F15,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,F16,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,F17,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,F18,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,F19,DMSO,0,DMSO_0,
plate_1,G04,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,G06,Etoposide, 30,Etoposide_ 30,
plate_1,G09,DMSO,0,DMSO_0,
plate_1,G10,Tetrandrine,1,Tetrandrine_1,
plate_1,G11,Nocodazole,0.1,Nocodazole_0.1,
plate_1,G13,DMSO,0,DMSO_0,
plate_1,G14,Etoposide, 10,Etoposide_ 10,
plate_1,G15,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,G16,Etoposide, 10,Etoposide_ 10,
plate_1,G17,Nocodazole, 1,Nocodazole_ 1,
plate_1,G21,DMSO,0,DMSO_0,
plate_1,H04,DMSO,0,DMSO_0,
plate_1,H05,Nocodazole, 1,Nocodazole_ 1,
plate_1,H09,Dasatinib, 1,Dasatinib_ 1,
plate_1,H10,Etoposide, 30,Etoposide_ 30,
plate_1,H12,Dasatinib, 1,Dasatinib_ 1,
plate_1,H13,Nocodazole, 1,Nocodazole_ 1,
plate_1,H16,DMSO,0,DMSO_0,
plate_1,H17,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,H19,Nocodazole,0.1,Nocodazole_0.1,
plate_1,H20,Tetrandrine,1,Tetrandrine_1,
plate_1,H21,Etoposide,3,Etoposide_3,
plate_1,I04,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,I07,DMSO,0,DMSO_0,
plate_1,I08,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,I10,Tetrandrine,1,Tetrandrine_1,
plate_1,I11,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,I16,Etoposide,3,Etoposide_3,
plate_1,I18,DMSO,0,DMSO_0,
plate_1,I19,Etoposide,3,Etoposide_3,
plate_1,I20,Dasatinib,0.1,Dasatinib_0.1,
plate_1,I21,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,J06,Tetrandrine,1,Tetrandrine_1,
plate_1,J08,Dasatinib, 1,Dasatinib_ 1,
plate_1,J09,Etoposide,3,Etoposide_3,
plate_1,J10,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,J11,DMSO,0,DMSO_0,
plate_1,J12,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,J13,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,J14,Tetrandrine,1,Tetrandrine_1,
plate_1,J15,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,J16,DMSO,0,DMSO_0,
plate_1,J18,Tetrandrine,1,Tetrandrine_1,
plate_1,K05,Dasatinib,0.1,Dasatinib_0.1,
plate_1,K07,Nocodazole, 1,Nocodazole_ 1,
plate_1,K08,DMSO,0,DMSO_0,
plate_1,K09,Nocodazole,0.1,Nocodazole_0.1,
plate_1,K11,Etoposide, 10,Etoposide_ 10,
plate_1,K13,Etoposide, 10,Etoposide_ 10,
plate_1,K14,Dasatinib,0.1,Dasatinib_0.1,
plate_1,K17,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,K18,Etoposide, 10,Etoposide_ 10,
plate_1,K20,DMSO,0,DMSO_0,
plate_1,K21,Etoposide, 30,Etoposide_ 30,
plate_1,L06,DMSO,0,DMSO_0,
plate_1,L08,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,L09,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,L10,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,L12,Tetrandrine, 10,Tetrandrine_ 10,
plate_1,L13,DMSO,0,DMSO_0,
plate_1,L14,Nocodazole, 1,Nocodazole_ 1,
plate_1,L15,Etoposide,3,Etoposide_3,
plate_1,L16,Nocodazole,0.1,Nocodazole_0.1,
plate_1,L21,Nocodazole, 0.3,Nocodazole_ 0.3,
plate_1,M04,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,M05,Nocodazole, 1,Nocodazole_ 1,
plate_1,M06,Tetrandrine, 3,Tetrandrine_ 3,
plate_1,M07,Etoposide,3,Etoposide_3,
plate_1,M09,DMSO,0,DMSO_0,
plate_1,M13,Etoposide, 10,Etoposide_ 10,
plate_1,M15,DMSO,0,DMSO_0,
plate_1,M17,Dasatinib, 0.3,Dasatinib_ 0.3,
plate_1,M19,Nocodazole,0.1,Nocodazole_0.1,
