cmpdname,conc_mM,solvent,source_plate,source_well
DMSO,0.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,A01
Cisplatin,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,B01
Carboplatin,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,C01
Paclitaxel,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,D01
Doxorubicin,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,E01
Topotecan,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,F01
Gemcitabine,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,G01
Olaparib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,H01
Niraparib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,I01
Rucaparib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,J01
Veliparib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,K01
Adavosertib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,L01
Berzosertib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,M01
Trametinib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,N01
Palbociclib,0.1,DMSO,SRC_ECHO_384LDV_EXAMPLE,O01
Cisplatin,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,B02
Carboplatin,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,C02
Paclitaxel,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,D02
Doxorubicin,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,E02
Topotecan,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,F02
Gemcitabine,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,G02
Olaparib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,H02
Niraparib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,I02
Rucaparib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,J02
Veliparib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,K02
Adavosertib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,L02
Berzosertib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,M02
Trametinib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,N02
Palbociclib,1.0,DMSO,SRC_ECHO_384LDV_EXAMPLE,O02
